study,year,location,state,elevation,region,fungicide2,inc_check,scl_check,design_scl,mean_scl,mean_scl_qmr,mean_scl_sd
45,2014/2015,Rio Verde,GO,921,Northern,PROCY-2,27.25,354.17,1,211.81,7622.7842,133.1922806
45,2014/2015,Rio Verde,GO,921,Northern,TIOF-4,27.25,354.17,1,229.17,7622.7842,88.23430866
46,2014/2015,Ponta Grossa,PR,1021,Southern,AACHECK-0,26.88,2970.63,1,2970.63,713440.258,1216.777883
46,2014/2015,Ponta Grossa,PR,1021,Southern,CARB+PROCY-2,26.88,2970.63,1,830.95,713440.258,965.2329487
46,2014/2015,Ponta Grossa,PR,1021,Southern,DIMO+BOSC-2,26.88,2970.63,1,1165.08,713440.258,664.9726525
46,2014/2015,Ponta Grossa,PR,1021,Southern,FLUO-2,26.88,2970.63,1,1713.49,713440.258,821.9857273
46,2014/2015,Ponta Grossa,PR,1021,Southern,FLUZ-2,26.88,2970.63,1,1965.08,713440.258,1081.214569
46,2014/2015,Ponta Grossa,PR,1021,Southern,PROCY-2,26.88,2970.63,1,2387.3,713440.258,748.0163692
46,2014/2015,Ponta Grossa,PR,1021,Southern,TIOF-4,26.88,2970.63,1,2845.63,713440.258,1741.526836
48,2014/2015,Mauá da Serra,PR,909,Southern,AACHECK-0,10.75,3312,1,3312,184773.8378,1201.132799
48,2014/2015,Mauá da Serra,PR,909,Southern,CARB+PROCY-2,10.75,3312,1,116,184773.8378,144.4991349
48,2014/2015,Mauá da Serra,PR,909,Southern,DIMO+BOSC-2,10.75,3312,1,212,184773.8378,298.8645178
48,2014/2015,Mauá da Serra,PR,909,Southern,FLUO-2,10.75,3312,1,60,184773.8378,46.9041576
48,2014/2015,Mauá da Serra,PR,909,Southern,FLUZ-2,10.75,3312,1,280,184773.8378,357.4912586
48,2014/2015,Mauá da Serra,PR,909,Southern,PROCY-2,10.75,3312,1,182,184773.8378,113.3137238
48,2014/2015,Mauá da Serra,PR,909,Southern,TIOF-4,10.75,3312,1,576,184773.8378,435.7522232
49,2015/2016,Montividiu,GO,921,Northern,AACHECK-0,36.25,273.52,1,273.52,1790.337,89.41069413
49,2015/2016,Montividiu,GO,921,Northern,CARB+PROCY-2,36.25,273.52,1,124.11,1790.337,56.0331196
49,2015/2016,Montividiu,GO,921,Northern,DIMO+BOSC-2,36.25,273.52,1,46.84,1790.337,24.82323173
49,2015/2016,Montividiu,GO,921,Northern,FLUO-2,36.25,273.52,1,49.11,1790.337,19.04979681
49,2015/2016,Montividiu,GO,921,Northern,FLUZ-2,36.25,273.52,1,66.86,1790.337,31.93970883
49,2015/2016,Montividiu,GO,921,Northern,PROCY-2,36.25,273.52,1,105,1790.337,20.02336809
49,2015/2016,Montividiu,GO,921,Northern,TIOF-4,36.25,273.52,1,140.25,1790.337,40.25447418
50,2015/2016,Montividiu,GO,921,Northern,AACHECK-0,50.92,1031.88,1,1031.88,168361.5556,1029.579961
50,2015/2016,Montividiu,GO,921,Northern,CARB+PROCY-2,50.92,1031.88,1,113.75,168361.5556,101.0466064
50,2015/2016,Montividiu,GO,921,Northern,DIMO+BOSC-2,50.92,1031.88,1,195,168361.5556,147.7469684
50,2015/2016,Montividiu,GO,921,Northern,FLUO-2,50.92,1031.88,1,235.63,168361.5556,168.6141428
50,2015/2016,Montividiu,GO,921,Northern,FLUZ-2,50.92,1031.88,1,186.88,168361.5556,168.6141428
50,2015/2016,Montividiu,GO,921,Northern,PROCY-2,50.92,1031.88,1,227,168361.5556,178.0098312
50,2015/2016,Montividiu,GO,921,Northern,TIOF-4,50.92,1031.88,1,560.63,168361.5556,449.0609415
51,2015/2016,Silvânia,GO,1050,Northern,AACHECK-0,30.98,2000,1,2000,373905.1111,141.4213562
51,2015/2016,Silvânia,GO,1050,Northern,CARB+PROCY-2,30.98,2000,1,490,373905.1111,247.3863375
51,2015/2016,Silvânia,GO,1050,Northern,DIMO+BOSC-2,30.98,2000,1,275,373905.1111,110
51,2015/2016,Silvânia,GO,1050,Northern,FLUO-2,30.98,2000,1,295,373905.1111,166.8332501
51,2015/2016,Silvânia,GO,1050,Northern,FLUZ-2,30.98,2000,1,260,373905.1111,116.6190379
51,2015/2016,Silvânia,GO,1050,Northern,PROCY-2,30.98,2000,1,797.5,373905.1111,861.8543132
51,2015/2016,Silvânia,GO,1050,Northern,TIOF-4,30.98,2000,1,920,373905.1111,790.9487973
52,2015/2016,Silvânia,GO,1050,Northern,AACHECK-0,27.23,2025,1,2025,354610,221.7355783
52,2015/2016,Silvânia,GO,1050,Northern,CARB+PROCY-2,27.23,2025,1,1260,354610,768.0277773
52,2015/2016,Silvânia,GO,1050,Northern,DIMO+BOSC-2,27.23,2025,1,1000,354610,1016.398872
52,2015/2016,Silvânia,GO,1050,Northern,FLUO-2,27.23,2025,1,200,354610,71.18052168
52,2015/2016,Silvânia,GO,1050,Northern,FLUZ-2,27.23,2025,1,175,354610,115.9022577
52,2015/2016,Silvânia,GO,1050,Northern,PROCY-2,27.23,2025,1,497.5,354610,634.3894703
52,2015/2016,Silvânia,GO,1050,Northern,TIOF-4,27.23,2025,1,910,354610,855.8037158
53,2015/2016,Uberlândia,MG,863,Northern,AACHECK-0,17.5,1992.5,1,1992.5,101515.0933,623.6117916
53,2015/2016,Uberlândia,MG,863,Northern,CARB+PROCY-2,17.5,1992.5,2,10,101515.0933,10
53,2015/2016,Uberlândia,MG,863,Northern,DIMO+BOSC-2,17.5,1992.5,2,297.5,101515.0933,336.4892272
53,2015/2016,Uberlândia,MG,863,Northern,FLUO-2,17.5,1992.5,2,114,101515.0933,228
53,2015/2016,Uberlândia,MG,863,Northern,PROCY-2,17.5,1992.5,2,132.5,101515.0933,231.5013113
53,2015/2016,Uberlândia,MG,863,Northern,TIOF-4,17.5,1992.5,2,577.5,101515.0933,377.9219496
54,2015/2016,Barreiras,BA,454,Northern,AACHECK-0,29.29,1261.9,1,1261.9,21572.7252,92.89287737
54,2015/2016,Barreiras,BA,454,Northern,CARB+PROCY-2,29.29,1261.9,1,410.55,21572.7252,128.420598
54,2015/2016,Barreiras,BA,454,Northern,DIMO+BOSC-2,29.29,1261.9,1,172.65,21572.7252,46.14025719
54,2015/2016,Barreiras,BA,454,Northern,FLUO-2,29.29,1261.9,1,45.05,21572.7252,27.82211351
54,2015/2016,Barreiras,BA,454,Northern,FLUZ-2,29.29,1261.9,1,718.8,21572.7252,389.6045089
54,2015/2016,Barreiras,BA,454,Northern,PROCY-2,29.29,1261.9,1,341.24,21572.7252,148.1159482
54,2015/2016,Barreiras,BA,454,Northern,TIOF-4,29.29,1261.9,1,825.03,21572.7252,43.91023988
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,AACHECK-0,28.75,208,1,208,11013.0311,72.38784428
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,CARB+PROCY-2,28.75,208,1,97.5,11013.0311,118.0211845
